campaign,campaign_id,shop,category,cat_src,name,price,rate,aff,product_id,image,start,end,live
NINGJP様 × EnterCommerce,7638416173198493448,NING JP,美容・コスメ,shopmajor,14 日でうるおいあふれる透明感 なめらか肌に！EXP フルーツ酸 明るみボディクリーム ニコチンアミド配合 長時間保湿 秋冬潤い 8 時間フレグランス持続,"1,782円",23.0,https://affiliate.tiktok.com/api/v1/share/ALL8Irw0l5Ck,1732216696408868251,product-images/1732216696408868251.jpeg,2026-05-11,2027-05-01,
NINGJP様 × EnterCommerce,7638416173198493448,NING JP,美容・コスメ,shopmajor,15日間で効果を発揮するセルライト対策・シェイプ＆引き締め「バーン ゴールド マッサージクリーム」｜ Cryo Thermo（クリオ・サーモ）の引き締めのゴールドジェル：腹部・太もも・ヒップ・腕用｜ウェルネス、爽やかな処方｜男女兼用のボディコンツアーメント｜200g,"1,781円",23.0,https://affiliate.tiktok.com/api/v1/share/ALL8MBZO4gpX,1732216535406773659,product-images/1732216535406773659.jpeg,2026-05-11,2027-05-01,
NINGJP様 × EnterCommerce,7638416173198493448,NING JP,美容・コスメ,id,NING Dermologie  ニング 399 コリアン オーバーナイトマスク ガラス肌効果 保湿・浸透性が良く、美白・シミ改善、引き締め・栄養補給、徹夜によるくすみ改善 寝ている間に保湿フェイスパック |100g,"1,781円-3,279円",23.0,https://affiliate.tiktok.com/api/v1/share/ALL8KvhQ5F40,1732208179310265755,product-images/1732208179310265755.jpeg,2026-05-11,2027-05-01,⚪︎
NINGJP様 × EnterCommerce,7638416173198493448,NING JP,美容・コスメ,id,10秒で全身を明るくエクスプレッションズ SPF30PA+++ BBボディクリーム、防水・防汗、保湿、12時間持続メイクアップ,"1,781円-3,279円",23.0,https://affiliate.tiktok.com/api/v1/share/ALL8Irw123V1,1733800265760015771,product-images/1733800265760015771.jpeg,2026-05-11,2027-05-01,⚪︎
NINGJP様 × EnterCommerce,7638416173198493448,NING JP,美容・コスメ,id,10 秒でクリア・フレームレスの完璧ベースメイク|Expressions SPF50 PA+++ BB スキンケアクリームは、透明感、保湿力、カバー力を持ち、ウォータープルーフ＆スウェットプルーフ対応,"1,679円-3,580円",23.0,https://affiliate.tiktok.com/api/v1/share/ALL8MBZOLZGs,1734276498199446939,product-images/1734276498199446939.jpeg,2026-05-11,2027-05-01,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,MYTREX OFFICIAL STORE,美容・コスメ,id,【公式】MYTREX RAKUNO FIT ふくらはぎケア マイトレックス マッサージ ふくらはぎ お癒し マッサージ機 足 フットマッサージャー マイトレックス RAKUNO FIT 足 むくみ マッサージ器 マッサージ 足 ふくらはぎ むくみ 疲れ 空気圧 温熱 コードレス 【正規1年間保証】温熱ふくらはぎケア 3種のもみコース 5段階レベル調整 10分オートOFF ラクーノ フィット 足 ふくらはぎ 健康 むくみ 疲れ 温熱 空気圧 コードレス ギフト,"7,550円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL8qq3XGNjI,1732256500078511247,product-images/1732256500078511247.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,MYTREX OFFICIAL STORE,美容・コスメ,id,【公式】MYTREX RAKUNO LUMBAR 腰ベルト調節可能  5段レベル ストレッチ スタイルアップ マイトレックス 姿勢矯正ベルト 超軽量腰ベルト ラクーノ ランバー 腰用 コルセット 骨盤矯正 腰痛対策 腰サポーター 骨盤ベルト 骨盤補正 姿勢改善 腰 骨盤 ウエスト スタイルアップ 骨盤サポート 薄型 軽量 姿勢サポート【正規1年間保証】腰ケア ラクーノ ランバー 長時間の座り仕事 立ち仕事 日常使用に最適 旅行先 オフィス 家庭用 MYTREX 男女兼用 プレゼント ギフト 通気性抜群,"5,590円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL8oBwg4DHX,1732922124279579791,product-images/1732922124279579791.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,MYTREX OFFICIAL STORE,美容・コスメ,id,【公式】MYTREX RAKUNO LITE  ふくらはぎケア 足ケア コードレス 超軽量  5段階レベル調整 マイトレックス ポータブルふくらはぎケア ラクーノ ライト 軽量モデル 足 ふくらはぎ むくみ 疲れ 空気圧 パワフル Type-C充電式 コードレス ハイパワー 旅行先 オフィス 運動後 座り仕事 ギフト 【正規1年間保証】ポータブルふくらはぎケア 軽量モデル 足 ふくらはぎ 健康 むくみ 疲れ  5段階レベル調整 10分オートOFFタイマー ハイパワー パワフル 空気圧 コードレス,"6,490円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL8qpGAz5Sc,1732923302041519247,product-images/1732923302041519247.jpeg,2026-02-09,2027-05-31,⚪︎
LIVE用特別料率キャンペーン,7604793940868908807,MYTREX OFFICIAL STORE,美容・コスメ,id,【公式】MYTREX RAKUNO FIT PLUS ふくらはぎケア お癒し 足裏ケア 3種もみコース 5段階レベル調整 マイトレックス ラクーノ フィット プラス 足 足裏 足先 つま先 足首 ふくらはぎ むくみ 疲れ 空気圧 温熱 Type-C充電式 コードレス ギフト 【正規1年間保証】温熱ふくらはぎケア 3段階温熱 9つのポンプ 3種のもみコース 5段階レベル調整 10分オートOFFタイマー 足裏 足先 つま先 足首 健康 むくみ 疲れ 温熱 空気圧 コードレス ギフト プレゼント,"9,650円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL8qq3XXNy2,1732936954938164367,product-images/1732936954938164367.jpeg,2026-02-09,2027-05-31,⚪︎
26/7月以降 Nature In様,7659194072054630152,Nature In【公式】,美容・コスメ,id,Nature In リポソームビタミンC 1000mg サプリ 1粒250mg 【1袋360粒入/90日分】 国内 GMP 製造 ネイチャーイン,"3,316円-8,540円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL5CL92JISC,1736241273931204421,product-images/1736241273931204421.jpeg,2026-07-06,2027-06-30,⚪︎
