商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
【Zzmm Select】コードレス電動ミニフードプロセッサー ワイヤレス充電式 多機能調理器具 ミンチ・みじん切り対応 ベビー離乳食OK 小型携帯便利 水洗い可能 時短キッチンツール 家庭用,85万円,>999.9%,553,3,"1,542円",5%,35,68.57%,2026-08-26,家電製品,0円,85万円,https://shop.tiktok.com/view/product/1737187899396949119?region=JP,https://www.kalodata.com/product/detail?id=1737187899396949119
Radi-Cool素材使用／日傘 折りたたみ 形状記憶 完全遮光 自動開閉 傘 超軽量 わずか210g 折りたたみ傘 ワンタッチ 自動開閉 遮熱 涼しい 晴雨兼用 遮光率100% UVカット 頑丈 撥水加工 風に強い 親骨 6本骨「年間ランキング受賞」,481万円,>999.9%,1114,4.2,"4,314円",15%,84,59.52%,2026-09-04,ホーム用品,0円,481万円,https://shop.tiktok.com/view/product/1737345058652588028?region=JP,https://www.kalodata.com/product/detail?id=1737345058652588028
SNS話題  暖か 指穴 アームカバー ニット　アームウォーマー レディース ケーブル 手袋 指穴 ニット手袋 [s2]【it-0108】,155万円,>999.9%,919,4.6,"1,688円",8%,37,54.05%,2026-08-30,ファッション小物,142万円,13万円,https://shop.tiktok.com/view/product/1737263971824142130?region=JP,https://www.kalodata.com/product/detail?id=1737263971824142130
靴用洗濯ネット 2枚セット 洗濯機で丸洗い 上履き 洗濯ネット 靴 洗濯 スニーカー シューズネット 靴洗い ネット 上履き洗い ブラシ 靴用ネット 時短 家事 子供 2枚組,426万円,>999.9%,2089,4.1,"2,038円",9%,94,25.53%,2026-09-03,ホーム用品,"5,986円",425万円,https://shop.tiktok.com/view/product/1737203305082815701?region=JP,https://www.kalodata.com/product/detail?id=1737203305082815701
双眼鏡 ライブ用 20倍 【新設計・超軽量】 オペラグラス スポーツ観戦用 双眼鏡 コンサート用 防振 小型 高倍率 広視野 高級BaK4プリズム ライブ用双眼鏡 防水 倍率調整可能 望遠鏡 収納バッグ・ストラップ付き ライブ/コンサート/観劇/登山/旅行/ドーム/スポーツ アウトドア 日本語説明書 (black),70万円,>999.9%,264,4.6,"2,663円",11%,51,56.86%,2026-09-04,スポーツ・アウトドア,16万円,54万円,https://shop.tiktok.com/view/product/1737344966102975801?region=JP,https://www.kalodata.com/product/detail?id=1737344966102975801
【新発売 Yunth Deep Boost】美顔器/Yunth Deep Boost  WHITE/PINK (ユンス　ディープブースト ホワイト/ピンク),55万円,889.8%,22,1,3万円,-,4,75%,2026-08-28,美容・パーソナルケア,0円,55万円,https://shop.tiktok.com/view/product/1737232994349712588?region=JP,https://www.kalodata.com/product/detail?id=1737232994349712588
"【5,555 円】【PURITO LUCKY BOX】韓国コスメ ラッキーボックス｜3～7点ランダム 最大22,220円相当｜限定260セット",227万円,781.4%,105,,2万円,-,2,100%,2026-08-30,美容・パーソナルケア,227万円,0円,https://shop.tiktok.com/view/product/1737263438010222149?region=JP,https://www.kalodata.com/product/detail?id=1737263438010222149
落ちにくい車スマホホルダー ナノゲル吸着と真空吸盤の W 固定 360° 回転 片手操作 ダッシュボード対応 スマホスタンド iPhone/Android 全機種 カー用品,94万円,675.4%,201,3,"4,683円",8%,7,71.43%,2026-09-06,自動車・バイク,0円,94万円,https://shop.tiktok.com/view/product/1737320490734421984?region=JP,https://www.kalodata.com/product/detail?id=1737320490734421984
車用スマホホルダー ナノゲル吸着×真空吸盤W固定構造 360度回転 片手操作 iPhone/Android全機種対応 カー用品,232万円,671.5%,603,,"3,846円",8%,40,30%,2026-09-04,自動車・バイク,0円,232万円,https://shop.tiktok.com/view/product/1737339750626591867?region=JP,https://www.kalodata.com/product/detail?id=1737339750626591867
"Phở Bò Cung Đình cốc 61g 2 thùng 48 cốc, CUNG DINH インスタントフォー 牛肉風味 コップ 61g, INSTANT RICE NOODLE BEEL FLAVOR",72万円,551.8%,189,4.7,"3,824円",8%,13,46.15%,2026-09-06,食品・飲料,"5,668円",72万円,https://shop.tiktok.com/view/product/1737215299238069339?region=JP,https://www.kalodata.com/product/detail?id=1737215299238069339
【らくらくBOX】 ガラスザムライ iPhone 用 ガラスフィルム 硬度 10H  簡単貼り付け 日本製素材 強化ガラス 保護フィルム 米軍MIL規格 いPhone,74万円,524.5%,502,4.7,"1,479円",12%,11,100%,2026-09-03,スマートフォン・エレクトロニクス,3万円,71万円,https://shop.tiktok.com/view/product/1736360471796549479?region=JP,https://www.kalodata.com/product/detail?id=1736360471796549479
【COSNORI】イージーブロウトーンチェンジャー 5回分｜セルフ眉トーンアップ,80万円,400.5%,379,4.5,"2,121円",7%,28,53.57%,2026-08-29,美容・パーソナルケア,24万円,56万円,https://shop.tiktok.com/view/product/1737090574071203083?region=JP,https://www.kalodata.com/product/detail?id=1737090574071203083
ブランド く ブロック 17・15・20cm り DIY  メカニカルギア LEDライトき プレゼントに,56万円,387.1%,100,3,"5,595円",8%,14,28.57%,2026-09-05,コンピュータ・事務用品,7万円,49万円,https://shop.tiktok.com/view/product/1737317769993226128?region=JP,https://www.kalodata.com/product/detail?id=1737317769993226128
【COSNORI】イージーブロウトーンチェンジャー / イージーブロウムードチェンジャー  5回分｜自然な眉カラーに｜セルフ眉トーンアップ,351万円,378.8%,2262,4.6,"1,552円",7%,72,72.22%,2026-08-29,美容・パーソナルケア,32万円,319万円,https://shop.tiktok.com/view/product/1737098576118580491?region=JP,https://www.kalodata.com/product/detail?id=1737098576118580491
レディース グレー ストレートショートパンツ 夏用 ローウエスト ゆったりシルエット アメリカンカジュアル ストリート系 シンプル無地 デイリー 通学 街歩き 旅行 休日コーデ Tシャツ タンクトップ スニーカーと好相性 リラックス 普段使い お出かけ,97万円,350.2%,282,3,"3,448円",7%,30,56.67%,2026-09-07,スマートフォン・エレクトロニクス,0円,97万円,https://shop.tiktok.com/view/product/1737378004624377098?region=JP,https://www.kalodata.com/product/detail?id=1737378004624377098
Lashaddict ラッシュアディクト 正規品 アイラッシュ コンディショニングセラム アドバンス 5ml まつげ美容液 QRコード付き ハリ・コシケア まつエク・まつパ対応,87万円,315.9%,136,4,"6,382円",8%,11,90.91%,2026-09-03,美容・パーソナルケア,13万円,74万円,https://shop.tiktok.com/view/product/1737280037176444613?region=JP,https://www.kalodata.com/product/detail?id=1737280037176444613
Rokid AIディスプレイ搭載スマートグラス 12MPカメラ 4K写真・3K動画撮影 グローバル対応リアルタイム翻訳 ビジネス向け演説プロンプター AR可視化ナビ ChatGPT・Gemini搭載 AIアシスタント 頭部操作で通話対応 度付きレンズ対応 超軽量49g 日常・海外旅行に最適 急速充電,151万円,278.9%,14,5,11万円,5%,24,16.67%,2026-08-29,スマートフォン・エレクトロニクス,0円,151万円,https://shop.tiktok.com/view/product/1736917069246007235?region=JP,https://www.kalodata.com/product/detail?id=1736917069246007235
【秋冬新作】ざっくりニット カーディガン アウター レディース ゆるシルエット ボリューム感 防寒着 お出かけ 通勤 通学。,154万円,209.4%,678,4.9,"2,274円",8%,95,33.68%,2026-09-04,自動車・バイク,18万円,137万円,https://shop.tiktok.com/view/product/1737320949306918905?region=JP,https://www.kalodata.com/product/detail?id=1737320949306918905
【2026年最新版】 ソーラーランタン キャンプ ランタン LED USB充電式 磁気ベース付き 折りたたみ式 懐中電灯 停電対策 防災グッズ アウトドア ライト 吊り下げ 3段階調光 軽量,55万円,196.1%,881,4.1,628円,8%,49,38.78%,2026-09-04,ホームセンター,0円,55万円,https://shop.tiktok.com/view/product/1737079566408582825?region=JP,https://www.kalodata.com/product/detail?id=1737079566408582825
