商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
【特別クーポンで50％OFF】【大容量リピ確定BOX】 超ド級450gのスーパージャンボクーヘンセット（450g×3） ※当商品は常温賞味期限約30日です。 常温での発送となります。 簡易包装でお届けしております。 そのため、商品に割れや崩れが生じる場合がございます。  ただし、品質や味には一切問題ございませんので、安心してお召し上がりください。,37万円,2026-09-07,"1,635円",12.49%,22.35万,@gaman_lifehack_,"3,000",7682616063103618311,https://www.tiktok.com/@gaman_lifehack_/video/7682616063103618311
エイミーロゴニットトップス,37万円,2026-09-15,"1,091円",13.92%,33.47万,@eimyistoire_official,1.62万,7685686632598506773,https://www.tiktok.com/@eimyistoire_official/video/7685686632598506773
眉毛 シェーバー レディース フェイスシェーバー 女性 フェイス用ムダ毛 女性用 電動カミソリ 顔剃り USB充電 コードレス マユコーム付き お肌に優しい 眉毛カッター 痛くない 眉 顔用 うぶ毛 産毛 コンパクト,36万円,2026-09-21,"1,955円",20.41%,18.66万,@airi.uranai,"1,207",7687820839256870164,https://www.tiktok.com/@airi.uranai/video/7687820839256870164
ミニスクイーズ 7個入り  もちもち感触 ストレス解消 癒しグッズ かわいい雑貨,36万円,2026-09-16,"1,642円",21.95%,22.18万,@mimin_diet80,"2,592",7686109576063683847,https://www.tiktok.com/@mimin_diet80/video/7686109576063683847
送料無料  高音質ワイヤレスイヤホン Bluetoothイヤホン 耳掛け式 軽量フィット 折りたたみ収納 IPX5防水 防汗 145時間再生 通勤・運動・ランニング向け プレゼントにも喜ばれる実用モデル,36万円,2026-09-04,633円,5.02%,57.46万,@zayneyzvg5o,"1,433",7681256540455718162,https://www.tiktok.com/@zayneyzvg5o/video/7681256540455718162
【特別セール中】MEDULLA ヒートシルキーブラシ 持ち運びに便利なブラシ型ヘアアイロン 飛行機持ち込み可,36万円,2026-09-16,"2,435円",34.74%,14.85万,@juuun.zip,337,7686023143911132434,https://www.tiktok.com/@juuun.zip/video/7686023143911132434
【公式】オットキャスト Ottocast Play2Video Ultra Android 12 CarPlay Box 人気アプリTVer/YouTube/Netflix/Prime Videoが視聴可能 2016年以降の純正で有線のカープレイ搭載車に対応,36万円,2026-04-18,"1,381円",18.47%,26.18万,@user1044084511666,"6,687",7630055394118765844,https://www.tiktok.com/@user1044084511666/video/7630055394118765844
タイ産ドリアン　小玉サイズ　,36万円,2026-09-16,779円,3.41%,46.31万,@hofufoods,184,7686127935505550612,https://www.tiktok.com/@hofufoods/video/7686127935505550612
【最高級】国産とり皮キムチ超お得セット(3個入)【冷蔵保存1ヶ月】【期間限定価格キャンペーン中】,36万円,2026-09-19,279円,2.84%,129.27万,@sintarou_monster,13.21万,7686765852770749703,https://www.tiktok.com/@sintarou_monster/video/7686765852770749703
Gap公式 リラックスフィット ロゴパーカー メンズ 911586,36万円,2026-09-18,283円,3.24%,126.92万,@kurikin_tonton,2.76万,7686776240405253384,https://www.tiktok.com/@kurikin_tonton/video/7686776240405253384
鼻挟み式キーホルダー老眼鏡 男女兼用 中高年向け 高画質 テンプルレス 折りたたみ式 超軽量 携帯便利,36万円,2026-09-17,837円,0%,42.91万,@rockkkkt,89,7686429224537689364,https://www.tiktok.com/@rockkkkt/video/7686429224537689364
【うるぷるグロウ】JOOCYEE とろ蜜リップペン グロス うるツヤ 保湿  長持ち＆落ちない トーンアップ 透明感ヌード系,36万円,2026-01-06,"1,260円",13.07%,28.5万,@sandyy4814,"5,319",7592070265278926101,https://www.tiktok.com/@sandyy4814/video/7592070265278926101
SaiKuCo【2枚入】着圧レギンス 着圧スパッツ レディース ハイウエスト・お腹引き締め 着圧 レギンス スパッツ 着圧タイツ 秋冬 裏起毛 美脚 柔らかい 脚痩せ むくみ ダイエット タイツ グラマラス ダイエット ヨガ,35万円,2026-09-18,"1,613円",0%,21.99万,@jimo8856,52,7686799860665699602,https://www.tiktok.com/@jimo8856/video/7686799860665699602
眉毛 シェーバー レディース フェイスシェーバー 女性 フェイス用ムダ毛 女性用 電動カミソリ 顔剃り USB充電 コードレス マユコーム付き お肌に優しい 眉毛カッター 痛くない 眉 顔用 うぶ毛 産毛 コンパクト,35万円,2026-09-18,"1,559円",19.69%,22.75万,@airi.uranai,"1,207",7686879383058943253,https://www.tiktok.com/@airi.uranai/video/7686879383058943253
【COSNORI】イージーブロウトーンチェンジャー / イージーブロウムードチェンジャー  5回分｜自然な眉カラーに｜セルフ眉トーンアップ,35万円,2026-09-14,346円,1.49%,102.08万,@sara_happylife4,"1,067",7685200358804688149,https://www.tiktok.com/@sara_happylife4/video/7685200358804688149
排気口カバー ガスコンロ IH対応 アウトレット 簡単設置 薄型 フラット トラック型 ステンレス製 キッチン 台所 ガスコンロ グリル コンロカバー 油はねカバー 汚れ防止 （Ｔ）【euni-131-ot】,35万円,2026-09-01,"1,194円",0%,29.55万,@michi.kurashi,"7,409",7680223362399964423,https://www.tiktok.com/@michi.kurashi/video/7680223362399964423
【Enchenal Lab公式】コードレス ストレートヘアブラシアイロン、携帯用電動ストレートブラシアイロン、イオンヘアケア機能付き、20秒急速加熱、5段階の温度調節、15分自動電源オフ、 火傷防止、LEDディスプレイ、静電気防止、温度 ロック機能、誤操作防止、マイナスイオン、頭皮ケア、髪質改善、時短、 くせ毛・寝癖の矯正、持ち運びに便利で火傷防止 梅雨の季節,35万円,2026-09-14,448円,3.05%,78.81万,@da_osusume,1.8万,7685337019257605396,https://www.tiktok.com/@da_osusume/video/7685337019257605396
フード付きパーカーカーディガン男女春秋アメリカンタイドブランド重ポンド衝突色カップルパーカーコート,35万円,2026-09-12,367円,2.87%,96.18万,@wog81rluh7,"5,886",7684297666909441301,https://www.tiktok.com/@wog81rluh7/video/7684297666909441301
【公式】Derma:U ダーマユー シャンプー&トリートメント セット,35万円,2026-09-19,217円,2.37%,161.77万,@furutftz7f6,1.14万,7687202435315682581,https://www.tiktok.com/@furutftz7f6/video/7687202435315682581
超音波カラーコンレンズ コンタクト洗浄 5段階の自動洗浄モード 時間を設定可能 持ち運びに便利 充電式,35万円,2026-08-19,96円,0.97%,366.35万,@sfdbl0,290,7675671837627403540,https://www.tiktok.com/@sfdbl0/video/7675671837627403540
YUMIBAG レディース ボディバッグ 超軽量 撥水ナイロン ワンショルダーバッグ 斜め掛けバッグ 大容量 多ポケット コンパクト 胸バッグ 軽量 シンプル カジュアル 通勤 通学 旅行 お出かけ デイリー使い 19×30×13cm,35万円,2026-09-16,420円,5.20%,83.42万,@_s8280,482,7686091256740728084,https://www.tiktok.com/@_s8280/video/7686091256740728084
【タイムセール2499円】ミキサー 小型 ジューサー スムージー 氷も砕ける 充電式 340ML 22000回転 一台多役 一人用 お手入れ簡単 持ち運びやすい 野菜/果物/ビタミン 離乳食/健康ダイエット/アウトドア オフィス·旅行·出張 Type-C充電 日本語取扱説明書 保証付き 母の日 プレゼント,35万円,2026-08-20,254円,2.12%,137.06万,@minatsu_gohan,"4,704",7676007006641196309,https://www.tiktok.com/@minatsu_gohan/video/7676007006641196309
後部座席がふかふかベッドに！車載用エアマット｜枕付き・分離式サポート・セダン／SUV／ミニバン対応,35万円,2026-09-16,234円,2.67%,148.66万,@giceodmhlut,388,7685981568271224085,https://www.tiktok.com/@giceodmhlut/video/7685981568271224085
【新規購入者様限定！特別クーポン利用で50%OFF！！！】  レンジで焼鮭 ドドンと600g入！ 約10切入 グリル不要 冷凍 鮭 切り身 さけ 訳あり 焼き鮭 銀鮭 加熱済 1kg 個包装 切り落とし 塩鮭 家庭用 焼き魚 サケ 切身 冷凍食品 魚 冷凍鮭 鮭の切り身 自然解凍 そのまま レンチン B級 冷凍保存 朝食 時短 弁当 小分け,35万円,2026-09-13,"1,489円",19.52%,23.31万,@saya__bodymake,6.85万,7685008719003962642,https://www.tiktok.com/@saya__bodymake/video/7685008719003962642
《秋の綺麗めカジュアル！大人の抜け感セット》【ESICA】フラワー刺繍バルーンブルゾン+裏毛リラックスワークタイトスカート(2set)_秋の新作、フラワー刺繍で大人っぽく。バルーンシルエットが叶える着回し力抜群の大人カジュアルコーデ、通勤からデートまで1セットで完成。ヴィンテージライクな魅力で、毎日の着こなしが洗練される必見アイテム。,35万円,2026-08-19,5万円,55.99%,"7,652",@esica.official,8.5万,7675564812574756103,https://www.tiktok.com/@esica.official/video/7675564812574756103
新発売記念 YETE アイスクリーム脱毛器 サファイア10℃冷却ケア 28.8J大エネルギー ダブルパルス高速処理 家庭用 軽量350g,34万円,2026-09-11,803円,10.53%,42.72万,@mugi_otoku,1.54万,7684242325266091265,https://www.tiktok.com/@mugi_otoku/video/7684242325266091265
落ちにくい車スマホホルダー ナノゲル吸着と真空吸盤の W 固定 360° 回転 片手操作 ダッシュボード対応 スマホスタンド iPhone/Android 全機種 カー用品,34万円,2026-09-18,"6,707円",0%,5.1万,@kokokoshop5,886,7686876786034052372,https://www.tiktok.com/@kokokoshop5/video/7686876786034052372
